Stock Name,Stock Count,Company,Sector,Industry,Country,Market Cap,P/E,Price,Volume,EPS Time,Zacks Ranks,Yahoo Ranks,The Street Ranks,Investor Place,Date,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,Divident,ROA,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Oper M,Profit M,Earnings,Outstanding,Float,Insider Own,Insider Trans,Inst Own,Inst Trans,Float Short,Short Ratio,Avg Volume,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Volatility W,Volatility M,Recom,Rel Volume,Beta,ATR,SMA20,SMA50,SMA200,52W High,52W Low,RSI,from Open,Gap
ECOM,49,ChannelAdvisor Corporation,Technology,Application Software,USA,268.37M,-,9.52,"137,456",Tomorrow Before Market EPS,3-Hold ,BUY,C- (Hold),D,November6,17.53,-,2.05,2.96,5.48,86.57,55.40%,30.22%,28.60%,8.00%,14.00%,-,-3.80%,-6.00%,-8.90%,1.90,1.90,0.00,0.02,77.20%,-4.10%,-4.10%,Nov 07/b,28.19M,26.56M,2.60%,0.00%,86.30%,3.12%,0.86%,3.20,71.83K,2.15%,4.85%,5.08%,-4.99%,-17.15%,-16.12%,3.44%,2.61%,2.20,1.91,0.41,0.26,2.82%,3.13%,-7.18%,-31.16%,18.85%,55.69,-1.86%,-0.72%
ECPG,51,"Encore Capital Group, Inc.",Financial,Asset Management,USA,1.02B,6.84,33.74,"425,846",Today After Market EPS,3-Hold ,BUY,C (Hold),B,November6,5.39,0.53,0.74,1.17,6.07,7.43,26.60%,10.14%,6.60%,13.00%,12.00%,-,3.30%,18.20%,8.30%,-,-,3.92,3.92,81.60%,31.80%,11.10%,Nov 06/a,30.31M,25.44M,1.60%,0.00%,-,0.46%,27.86%,20.30,349.11K,-0.15%,11.10%,-10.29%,3.12%,27.13%,43.57%,2.84%,2.33%,1.90,1.22,1.45,0.91,0.85%,-0.38%,2.30%,-13.91%,65.55%,49.46,0.66%,-0.06%
EE,50,El Paso Electric Company,Utilities,Electric Utilities,USA,2.71B,30.24,66.74,"647,042",Tomorrow Before Market EPS,,SELL,A- (Buy),B,November6,23.61,6.72,3.12,2.32,210.26,17.25,-14.40%,4.32%,-1.20%,4.50%,0.30%,2.31%,2.40%,7.70%,5.60%,0.60,0.50,1.19,1.32,-,18.40%,10.30%,Nov 07/b,40.64M,40.34M,0.70%,-20.86%,94.30%,0.44%,2.90%,5.26,222.67K,-0.48%,-0.74%,0.24%,13.60%,15.13%,33.13%,0.69%,0.49%,3.70,2.91,0.54,0.34,-0.57%,-0.39%,7.11%,-1.65%,39.07%,42.78,1.20%,-1.12%
EFC,52,Ellington Financial Inc.,Financial,Mortgage Investment,USA,619.74M,17.03,18.39,"172,823",Today After Market EPS,1-Strong Buy ,BUY,B (Buy),A,November6,9.89,2.57,4.19,1.00,14.51,-,45.40%,3.80%,-14.30%,6.62%,3.20%,9.14%,0.90%,5.70%,1.70%,-,-,1.18,4.23,46.00%,27.00%,22.00%,Nov 06/a,33.70M,30.09M,0.80%,0.00%,52.80%,2.22%,2.45%,3.55,207.68K,0.16%,2.85%,4.13%,1.16%,19.80%,19.96%,0.99%,0.80%,2.10,0.83,0.36,0.17,0.52%,2.21%,3.52%,-0.92%,25.19%,57.81,0.88%,0.00%
EGAN,53,eGain Corporation,Technology,Business Software & Services,USA,239.62M,57.36,8.03,"151,214",Today After Market EPS,3-Hold ,BUY,None,C,November6,73.00,2.87,3.57,10.04,7.51,36.31,288.50%,129.17%,21.60%,20.00%,-0.90%,-,7.00%,40.90%,19.30%,1.30,1.30,0.00,0.00,67.50%,8.20%,6.20%,Nov 06/a,29.84M,25.96M,1.40%,-8.47%,82.40%,0.35%,2.35%,4.06,149.82K,6.36%,6.01%,10.91%,-7.91%,0.50%,22.22%,3.15%,2.96%,2.20,1.01,0.70,0.24,6.66%,4.24%,-7.70%,-36.97%,48.70%,60.96,-0.74%,0.12%
EGLE,54,Eagle Bulk Shipping Inc.,Services,Shipping,USA,305.27M,97.21,4.18,"478,924",Today After Market EPS,3-Hold ,BUY,D+ (Sell),C,November6,7.56,1.24,1.01,0.63,-,10.64,127.70%,885.70%,-45.35%,78.13%,8.90%,-,0.40%,0.70%,4.60%,1.00,0.90,0.64,0.70,45.00%,8.80%,1.00%,Nov 06/a,73.03M,73.03M,2.00%,-3.24%,84.40%,3.50%,-,-,417.38K,-5.86%,-4.78%,0.00%,-21.28%,-15.38%,-9.33%,5.49%,5.41%,1.70,1.15,1.43,0.23,-7.34%,-7.78%,-12.26%,-29.36%,8.57%,39.60,-5.43%,0.00%
EGY,55,"VAALCO Energy, Inc.",Basic Materials,Independent Oil & Gas,USA,116.20M,1.39,2.01,"222,590",Today After Market EPS,3-Hold ,BUY,B- (Buy),C,November6,3.79,0.69,1.19,1.04,2.39,13.20,52.10%,112.00%,16.90%,2.00%,-9.10%,-,54.10%,89.70%,86.10%,1.50,1.50,0.00,0.00,67.90%,45.40%,-,Nov 06/a,57.81M,54.11M,2.70%,16.41%,46.30%,-0.05%,0.68%,1.73,214.14K,1.01%,0.00%,18.24%,6.91%,1.52%,36.73%,2.43%,2.67%,2.00,1.04,1.26,0.06,-0.72%,2.11%,2.68%,-26.91%,64.75%,50.95,2.55%,-2.00%
ELF,56,"e.l.f. Beauty, Inc.",Consumer Goods,Personal Products,USA,861.40M,-,17.89,"471,449",Today After Market EPS,1-Strong Buy ,BUY,C- (Hold),B,November6,35.50,-,3.21,3.90,14.19,17.13,-28.90%,15.07%,4.27%,7.15%,-,-,-0.10%,-0.30%,6.20%,3.10,2.00,0.61,0.66,61.00%,2.70%,-0.20%,Nov 06/a,48.15M,29.63M,1.50%,-90.35%,90.90%,4.92%,8.51%,4.01,629.71K,2.00%,1.71%,3.35%,55.97%,61.17%,106.58%,3.88%,3.38%,2.40,0.75,-,0.63,3.21%,3.97%,32.36%,-6.24%,166.82%,56.71,2.46%,0.52%
ELGX,57,"Endologix, Inc.",Healthcare,Medical Instruments & Supplies,USA,48.08M,-,2.65,"109,417",Today After Market EPS,3-Hold ,HOLD,D- (Sell),D,November6,-,-,0.34,0.67,0.94,-,-14.50%,14.70%,-28.70%,36.95%,3.40%,-,-27.60%,-195.70%,-26.80%,2.50,1.80,2.29,0.00,56.70%,-46.40%,-60.30%,Nov 06/a,18.14M,16.94M,4.30%,-0.45%,86.80%,1.12%,8.33%,6.36,221.89K,15.22%,-19.70%,-57.74%,-60.45%,-80.66%,-62.99%,6.83%,9.73%,2.90,0.49,0.24,0.30,-19.06%,-32.27%,-55.48%,-81.07%,16.23%,34.70,-4.68%,0.72%
EMAN,51,eMagin Corporation,Technology,Semiconductor Equipment & Materials,USA,15.43M,-,0.32,"54,150",Tomorrow Before Market EPS,3-Hold ,BUY,D- (Sell),F,November6,-,-,0.65,0.88,4.17,-,7.10%,45.50%,18.40%,20.00%,-1.30%,-,-21.80%,-34.00%,-64.80%,2.10,1.00,0.00,0.06,14.60%,-44.10%,-26.00%,Nov 07/b,48.82M,44.94M,8.36%,0.00%,44.20%,23.27%,1.24%,5.57,99.75K,6.32%,-15.57%,-24.74%,-39.21%,-77.26%,-69.31%,7.02%,9.43%,2.50,0.54,-0.06,0.03,-3.30%,-14.64%,-42.70%,-79.07%,27.14%,42.07,-1.19%,1.46%
ENFC,58,Entegra Financial Corp.,Financial,Regional - Southeast Banks,USA,208.43M,15.83,29.99,"57,043",Today After Market EPS,,HOLD,C+ (Hold),B,November6,-,-,3.17,1.17,0.99,19.12,77.60%,-,101.70%,-,14.80%,-,0.80%,7.90%,24.10%,-,-,0.11,0.11,-,72.30%,20.10%,Nov 06/a,6.95M,6.68M,0.40%,-1.77%,59.90%,-0.31%,0.47%,2.20,14.38K,-0.33%,-0.13%,0.47%,1.35%,28.93%,44.53%,0.31%,0.24%,3.00,3.97,0.69,0.07,-0.30%,-0.20%,7.63%,-0.83%,56.36%,41.79,-0.03%,-0.27%
ENS,59,EnerSys,Industrial Goods,Industrial Electrical Equipment,USA,3.04B,20.52,71.25,"328,576",Today After Market EPS,3-Hold ,STRONG BUY,C+ (Hold),D,November6,11.85,2.05,1.04,2.35,11.60,30.18,-32.20%,15.92%,2.50%,10.00%,2.60%,0.98%,5.40%,12.80%,7.70%,2.50,1.70,0.76,0.79,25.00%,7.40%,5.60%,Nov 06/a,42.66M,41.88M,1.80%,0.00%,-,0.19%,2.70%,3.91,289.17K,4.93%,18.85%,22.70%,8.66%,-14.45%,-8.19%,2.85%,2.38%,1.00,1.14,1.59,1.86,7.13%,11.49%,6.95%,-20.68%,33.03%,65.51,-0.95%,-0.19%
EOG,60,"EOG Resources, Inc.",Basic Materials,Independent Oil & Gas,USA,40.40B,11.80,71.42,"5,183,385",Today After Market EPS,3-Hold ,None,C (Hold),D,November6,14.33,1.48,2.26,2.00,34.81,5.13,777.40%,2.85%,7.60%,8.00%,3.70%,1.61%,10.30%,18.20%,14.10%,1.00,0.80,0.20,0.25,55.20%,25.90%,19.90%,Nov 06/a,565.65M,565.65M,0.20%,0.00%,89.20%,-0.04%,1.81%,2.42,4.23M,2.59%,3.91%,-11.12%,-24.21%,-32.84%,-18.11%,2.88%,3.35%,1.90,1.22,1.34,2.39,2.19%,-3.09%,-17.55%,-35.19%,11.02%,48.91,-2.82%,-0.70%
EPAM,52,"EPAM Systems, Inc.",Technology,Information Technology Services,USA,9.71B,38.58,178.41,"280,487",Tomorrow Before Market EPS,2-Buy ,BUY,A- (Buy),B,November6,27.92,2.03,4.74,6.86,-,42.94,55.50%,20.88%,26.60%,19.00%,27.10%,-,14.30%,18.80%,18.00%,4.70,4.70,0.02,0.02,35.50%,13.70%,12.00%,Nov 07/b,54.40M,51.88M,2.80%,-17.96%,-,0.35%,1.32%,2.13,322.48K,0.65%,-3.31%,-6.09%,5.08%,43.67%,53.79%,1.87%,2.35%,1.90,0.87,1.44,4.24,-1.55%,-3.00%,1.99%,-11.24%,70.29%,48.11,0.90%,-0.56%
EPM,61,Evolution Petroleum Corporation,Basic Materials,Independent Oil & Gas,USA,178.74M,12.00,5.57,"75,369",Today After Market EPS,4-Sell ,BUY,C+ (Hold),D,November6,19.21,-,4.14,2.31,5.66,16.55,13.50%,-5.54%,38.90%,-,19.60%,7.18%,16.00%,19.20%,19.00%,12.80,12.80,0.00,0.00,67.00%,43.30%,35.60%,Nov 06/a,32.09M,30.49M,1.00%,0.00%,76.60%,1.26%,3.66%,8.07,138.33K,-2.96%,1.46%,-8.69%,-22.10%,-44.24%,-18.33%,3.70%,3.61%,2.30,0.54,1.09,0.19,0.49%,-3.06%,-14.27%,-47.15%,6.53%,46.09,-2.62%,0.18%
EPRT,62,"Essential Properties Realty Trust, Inc.",Financial,REIT - Diversified,USA,1.91B,56.83,25.12,"1,170,263",Today After Market EPS,2-Buy ,BUY,C- (Hold),A,November6,38.53,1.65,16.12,1.83,244.47,59.96,133.00%,16.85%,-,34.51%,-,3.50%,1.70%,3.60%,1.80%,-,-,0.73,0.00,97.30%,28.80%,20.80%,Nov 06/a,75.91M,75.38M,1.20%,-,68.00%,-10.18%,5.88%,3.21,1.38M,-1.80%,3.67%,18.83%,23.44%,79.94%,81.50%,2.10%,1.87%,2.20,0.85,-,0.52,1.55%,6.24%,22.61%,-2.94%,92.34%,60.63,0.24%,0.40%
EQH,63,"AXA Equitable Holdings, Inc.",Financial,Insurance Brokers,USA,10.78B,12.77,22.32,"3,982,945",Today After Market EPS,3-Hold ,BUY,C- (Hold),C,November6,4.78,1.11,0.83,0.74,2.28,-,132.30%,9.24%,26.70%,11.51%,0.80%,2.69%,0.40%,7.60%,9.30%,-,-,0.75,0.87,58.50%,25.30%,7.90%,Nov 06/a,482.88M,299.23M,39.00%,-,64.10%,0.15%,5.76%,7.81,2.21M,1.50%,10.60%,6.74%,1.27%,7.36%,34.22%,2.03%,2.08%,2.30,1.81,-,0.53,2.17%,3.29%,6.15%,-2.83%,51.63%,55.38,-0.53%,-0.31%
ERI,64,"Eldorado Resorts, Inc.",Services,Resorts & Casinos,USA,3.55B,38.86,46.91,"1,976,321",Today After Market EPS,5-Strong Sell ,BUY,C+ (Hold),C,November6,19.76,1.29,1.46,3.36,17.23,31.30,315.10%,31.74%,8.50%,30.06%,52.80%,-,1.70%,9.00%,5.10%,1.80,1.80,3.67,3.67,48.60%,16.60%,3.90%,Nov 06/a,75.59M,62.01M,0.20%,22.73%,90.01%,2.00%,23.89%,9.85,1.50M,5.77%,20.37%,15.00%,-1.88%,26.78%,29.55%,2.94%,2.58%,1.90,1.31,1.53,1.25,7.38%,12.66%,2.92%,-14.69%,47.21%,72.02,-1.24%,2.90%
ESI,53,Element Solutions Inc,Basic Materials,Specialty Chemicals,USA,2.80B,-,11.48,"2,381,165",Tomorrow Before Market EPS,4-Sell ,BUY,C (Hold),C,November6,12.30,-,1.49,1.32,11.33,-,48.70%,11.07%,27.20%,26.80%,75.40%,-,-5.00%,-16.10%,2.40%,2.70,2.10,0.68,0.70,42.60%,12.30%,-18.50%,Nov 07/b,244.29M,224.41M,0.70%,-,95.90%,0.99%,6.41%,7.34,1.96M,7.39%,22.65%,19.33%,3.99%,4.84%,11.13%,3.76%,2.88%,2.50,1.22,2.13,0.33,9.73%,12.81%,10.47%,-9.89%,34.27%,70.38,0.97%,-0.18%
ESTE,54,"Earthstone Energy, Inc.",Basic Materials,Independent Oil & Gas,USA,276.33M,4.66,4.53,"125,173",Tomorrow Before Market EPS,3-Hold ,BUY,C- (Hold),D,November6,4.86,0.16,1.60,0.40,47.64,2.66,850.60%,0.76%,-8.00%,30.00%,56.70%,-,2.80%,8.70%,8.90%,0.60,0.60,0.33,0.33,80.10%,18.30%,16.20%,Nov 07/b,61.00M,19.38M,2.50%,-0.13%,47.40%,-0.04%,8.14%,7.99,197.39K,15.27%,28.69%,11.03%,-34.06%,-43.37%,0.22%,6.98%,6.60%,2.00,0.63,1.91,0.26,18.63%,22.24%,-16.95%,-46.20%,51.00%,63.77,-5.03%,-0.83%
ET,65,Energy Transfer LP,Basic Materials,Oil & Gas Equipment & Services,USA,31.41B,9.94,12.26,"14,437,083",Today After Market EPS,3-Hold ,BUY,C+ (Hold),D,November6,8.01,0.60,0.57,1.54,70.58,-,325.80%,5.23%,55.90%,16.50%,2.30%,9.95%,3.10%,17.90%,7.90%,1.10,0.80,2.23,2.23,25.50%,12.40%,5.00%,Nov 06/a,2.56B,2.26B,1.60%,-,57.70%,0.09%,5.01%,9.51,11.92M,-0.73%,-0.81%,-12.62%,-17.61%,-23.23%,-7.19%,2.79%,2.25%,1.60,1.21,1.54,0.31,-2.37%,-5.96%,-14.15%,-28.05%,4.97%,38.27,-2.70%,-0.47%
EVFM,55,"Evofem Biosciences, Inc.",Healthcare,Biotechnology,USA,233.53M,-,5.10,"11,169",Tomorrow Before Market EPS,4-Sell ,None,None,B,November6,-,-,-,5.26,4.61,-,-32.50%,42.10%,2.80%,30.40%,-,-,-453.40%,-,-,2.80,2.80,0.00,0.00,-,-,-,Nov 07/b,45.79M,32.00M,31.30%,-,63.80%,0.04%,2.37%,32.28,23.44K,0.00%,2.00%,-0.78%,-11.30%,33.16%,21.72%,4.24%,3.24%,-,0.48,0.61,0.17,1.34%,-1.27%,7.42%,-29.56%,61.39%,52.41,0.79%,0.00%
EVOP,56,"EVO Payments, Inc.",Technology,Business Software & Services,USA,2.25B,-,27.43,"323,594",Tomorrow Before Market EPS,3-Hold ,HOLD,None,B,November6,38.80,-,4.24,-,8.90,25.33,-32.90%,20.03%,-,16.86%,-,-,-2.10%,23.50%,-5.90%,1.10,1.10,-,-,72.90%,2.40%,-6.80%,Nov 07/b,81.92M,35.68M,1.40%,-,91.97%,0.99%,6.27%,5.71,391.82K,-6.41%,1.63%,-9.08%,-3.72%,10.74%,11.19%,3.47%,2.62%,2.60,0.83,-,0.80,-3.40%,-3.78%,-3.51%,-14.09%,25.77%,40.15,-0.04%,-0.51%
EVRG,66,"Evergy, Inc.",Utilities,Electric Utilities,USA,14.83B,26.67,62.92,"1,828,303",Today After Market EPS,3-Hold ,BUY,A (Buy),B,November6,20.12,3.98,2.84,1.72,138.62,328.87,10.30%,8.43%,1.90%,6.70%,12.50%,3.02%,2.40%,6.30%,4.70%,0.40,0.30,0.81,1.10,-,22.30%,11.70%,Nov 06/a,235.73M,234.76M,0.10%,-,87.30%,0.21%,2.24%,2.85,1.85M,-1.19%,-3.21%,1.60%,10.50%,11.68%,10.83%,1.15%,1.45%,2.30,0.99,0.14,0.85,-0.98%,-2.69%,4.16%,-7.21%,15.30%,41.97,0.41%,0.21%
EXPE,67,"Expedia Group, Inc.",Services,Lodging,USA,19.50B,33.41,135.36,"3,008,988",Today After Market EPS,4-Sell ,BUY,A- (Buy),C,November6,16.61,2.66,1.68,4.65,3.99,12.65,14.10%,17.48%,9.70%,12.58%,18.70%,1.00%,3.10%,14.70%,8.00%,0.80,0.80,0.86,0.00,82.60%,7.80%,5.40%,Nov 06/a,144.07M,118.56M,12.40%,-1.20%,91.30%,4.18%,5.90%,5.19,1.35M,-0.80%,2.90%,3.75%,13.46%,6.68%,20.16%,1.79%,1.63%,2.10,2.23,1.10,2.30,-1.06%,1.13%,5.96%,-6.00%,25.21%,49.44,-0.05%,0.30%
EYE,57,"National Vision Holdings, Inc.",Services,"Specialty Retail, Other",USA,1.97B,164.44,24.83,"936,100",Tomorrow Before Market EPS,3-Hold ,STRONG BUY,C- (Hold),F,November6,31.67,11.26,1.20,2.51,23.73,51.85,4.50%,13.95%,-,14.60%,12.80%,-,0.70%,1.70%,4.60%,0.90,0.60,0.75,0.76,52.80%,1.90%,0.80%,Nov 07/b,79.14M,67.13M,0.60%,-,-,0.48%,11.37%,7.02,1.09M,3.33%,9.14%,-21.92%,-9.68%,-43.82%,-11.86%,3.31%,3.22%,1.50,0.86,-,0.87,4.38%,-2.35%,-14.18%,-45.88%,12.76%,50.66,-0.68%,-0.60%
EYPT,58,"EyePoint Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,245.41M,-,2.31,"421,545",Tomorrow Before Market EPS,4-Sell ,BUY,D- (Sell),C,November6,-,-,20.12,8.56,5.55,-,54.30%,57.90%,-1.60%,-,-3.40%,-,-88.70%,-226.20%,-44.50%,5.50,5.30,1.64,1.64,91.50%,-,-,Nov 07/b,106.24M,105.51M,0.80%,-,57.60%,-0.56%,5.01%,12.48,423.97K,2.21%,13.24%,63.83%,42.59%,0.00%,22.22%,6.16%,7.42%,1.70,0.99,1.79,0.17,0.64%,17.70%,22.81%,-18.20%,94.12%,56.63,-0.43%,-0.43%
FG,68,FGL Holdings,Financial,Life Insurance,Cayman Islands,2.04B,20.66,9.07,"1,188,073",Today After Market EPS,4-Sell ,HOLD,B (Buy),C,November6,5.65,1.18,1.50,0.87,2.64,1.80,-105.50%,19.41%,-,17.54%,-,0.44%,0.30%,5.90%,2.90%,-,-,0.24,0.24,-,-,6.90%,Nov 06/a,224.39M,218.07M,0.10%,-,76.20%,-0.14%,1.96%,3.12,1.37M,-3.51%,9.94%,22.40%,5.47%,13.52%,36.19%,3.02%,2.25%,2.70,0.87,-,0.25,4.25%,9.00%,10.56%,-8.11%,52.95%,63.51,0.78%,-0.66%
FISV,69,"Fiserv, Inc.",Services,Business Services,USA,70.82B,43.26,104.91,"2,856,037",Today After Market EPS,3-Hold ,BUY,B (Buy),A,November6,21.63,2.20,11.85,16.16,8.39,63.80,31.30%,21.24%,19.00%,19.67%,3.90%,-,7.20%,38.90%,16.70%,5.00,5.00,5.40,5.40,47.20%,25.60%,16.10%,Nov 06/a,675.03M,675.03M,0.60%,-4.88%,79.60%,27.26%,2.07%,3.86,3.63M,-1.31%,1.75%,-0.49%,23.88%,36.76%,42.75%,1.94%,2.07%,1.70,0.79,0.78,2.23,0.13%,0.13%,11.80%,-4.55%,53.27%,51.34,0.97%,-0.10%
FIT,70,"Fitbit, Inc.",Technology,Scientific & Technical Instruments,USA,1.57B,-,7.03,"18,920,646",Today After Market EPS,3-Hold ,HOLD,D (Sell),C,November6,-,-,1.01,2.88,2.78,-,23.90%,25.70%,-24.70%,22.50%,41.00%,-,-9.60%,-19.70%,-26.00%,1.90,1.60,0.00,0.00,36.60%,-10.30%,-8.70%,Nov 06/a,223.61M,222.41M,0.50%,-1.33%,67.60%,-0.02%,13.16%,2.40,12.21M,19.97%,90.51%,111.11%,40.88%,19.15%,41.45%,3.48%,9.01%,2.90,1.55,1.72,0.42,46.02%,71.78%,45.86%,-3.17%,150.18%,81.11,0.00%,-0.42%
FLO,71,"Flowers Foods, Inc.",Consumer Goods,Processed & Packaged Goods,USA,4.57B,26.09,21.42,"1,398,268",Today After Market EPS,3-Hold ,HOLD,B (Buy),B,November6,20.90,4.41,1.13,3.51,465.95,44.55,47.80%,6.44%,-8.00%,5.91%,1.10%,3.55%,6.00%,14.10%,7.30%,1.20,0.80,0.70,0.72,47.70%,6.10%,4.40%,Nov 06/a,213.18M,185.21M,3.80%,0.00%,66.50%,-0.90%,4.32%,7.43,1.08M,-1.34%,-3.43%,-6.63%,-0.56%,13.69%,15.97%,1.30%,1.28%,3.00,1.30,0.39,0.29,-1.75%,-4.20%,-2.71%,-12.05%,20.47%,39.99,0.99%,0.33%
FLT,72,"FleetCor Technologies, Inc.",Services,Business Services,USA,25.45B,28.99,294.07,"455,101",Today After Market EPS,2-Buy ,BUY,A (Buy),A,November6,21.72,2.08,10.05,6.61,21.74,23.14,38.70%,15.32%,22.00%,13.96%,22.10%,-,7.70%,25.00%,10.20%,0.90,0.90,0.70,1.20,-,45.20%,35.30%,Nov 06/a,86.53M,85.08M,1.40%,0.00%,96.60%,0.12%,3.18%,5.07,533.22K,-1.99%,5.08%,-0.78%,10.47%,48.91%,58.34%,1.92%,1.92%,2.20,0.85,1.11,5.95,0.22%,0.74%,10.55%,-3.47%,70.79%,52.43,0.67%,0.13%
FOCS,59,Focus Financial Partners Inc.,Financial,Asset Management,USA,1.60B,-,23.77,"314,345",Tomorrow Before Market EPS,3-Hold ,BUY,D (Sell),D,November6,8.71,-,1.53,2.29,42.21,16.79,98.10%,24.54%,-16.00%,23.30%,27.80%,-,-0.10%,-0.60%,1.50%,-,-,2.29,2.29,-,4.00%,-0.30%,Nov 07/b,67.30M,8.16M,0.02%,-,90.10%,1.48%,17.82%,4.68,310.99K,7.61%,11.70%,-1.78%,-30.25%,-38.85%,-9.72%,3.88%,3.72%,2.30,1.01,-,0.85,6.11%,6.44%,-17.45%,-41.11%,24.78%,62.81,2.41%,-0.17%
FOSL,73,"Fossil Group, Inc.",Consumer Goods,Textile - Apparel Footwear & Accessories,USA,625.24M,18.77,12.56,"1,604,422",Today After Market EPS,3-Hold ,HOLD,C- (Hold),D,November6,23.48,1.26,0.26,1.17,2.76,5.10,99.20%,445.92%,-15.00%,14.90%,-4.90%,-,2.10%,6.00%,4.20%,1.90,1.10,0.30,0.42,53.20%,3.00%,1.40%,Nov 06/a,49.78M,46.16M,2.30%,24.46%,-,-0.56%,27.31%,9.58,1.32M,14.29%,18.83%,12.85%,-13.44%,-46.48%,-20.15%,6.91%,5.51%,3.40,1.22,0.40,0.69,10.48%,4.69%,-0.37%,-47.25%,39.56%,57.09,-2.86%,0.00%
FOXA,74,Fox Corporation,Services,Entertainment - Diversified,USA,20.10B,12.88,33.10,"5,636,037",Today After Market EPS,3-Hold ,HOLD,None,],November6,12.16,-,1.77,2.07,6.22,2.34,0.90%,18.72%,-,-0.34%,-,1.39%,9.90%,16.00%,9.50%,3.80,3.10,0.68,0.68,35.70%,19.00%,14.00%,Nov 06/a,607.35M,510.92M,0.40%,0.00%,99.50%,0.31%,3.68%,4.14,4.54M,3.18%,10.13%,-5.78%,-14.03%,-,-12.89%,1.70%,2.09%,2.70,1.24,-,0.68,2.90%,2.47%,-6.33%,-21.10%,11.47%,56.81,0.79%,0.02%
FPRX,75,"Five Prime Therapeutics, Inc.",Healthcare,Biotechnology,USA,138.75M,-,4.01,"185,129",Today After Market EPS,3-Hold ,BUY,D (Sell),F,November6,-,-,7.50,0.68,0.65,-,23.10%,23.70%,4.60%,-,29.30%,-,-48.10%,-62.10%,-55.10%,6.90,6.90,0.00,0.00,-,-,-,Nov 06/a,34.60M,34.60M,1.80%,128.48%,75.90%,0.37%,3.67%,3.74,339.96K,0.00%,8.67%,-27.75%,-61.41%,-67.71%,-56.88%,5.95%,6.38%,2.30,0.54,2.55,0.28,-0.55%,-13.33%,-50.35%,-71.30%,24.53%,42.81,-2.67%,0.24%
FRAC,76,NexTier Oilfield Solutions Inc.,Basic Materials,Oil & Gas Equipment & Services,USA,477.82M,50.00,4.55,0,Today After Market EPS,,BUY,None,],November6,-,-,0.25,1.03,-,-,-119.50%,-52.90%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Nov 06/a,105.02M,52.55M,9.02%,0.00%,-,-,18.61%,5.05,1.94M,-17.42%,-19.47%,-20.45%,-56.04%,-59.70%,-44.38%,8.22%,6.70%,2.10,3.64,-,0.38,-12.54%,-17.93%,-43.27%,-67.29%,3.41%,37.21,0.00%,0.00%
FSCT,77,"Forescout Technologies, Inc.",Technology,Application Software,USA,1.37B,-,29.44,"580,082",Today After Market EPS,3-Hold ,BUY,D (Sell),C,November6,1226.67,-,4.22,12.53,13.02,-,25.60%,104.20%,-,-,-,-,-24.00%,-76.80%,-53.40%,1.20,1.10,0.04,0.11,77.40%,-27.90%,-28.10%,Nov 06/a,46.44M,44.04M,3.80%,-,87.60%,0.21%,5.17%,3.49,651.84K,-7.07%,-24.99%,-19.41%,-32.01%,9.56%,13.27%,3.48%,4.99%,2.10,0.89,-,1.65,1.38%,-12.51%,-19.15%,-36.59%,33.76%,42.58,-0.54%,-1.04%
FUNC,78,First United Corporation,Financial,Regional - Mid-Atlantic Banks,USA,169.10M,13.35,23.75,"11,537",Today After Market EPS,,None,B (Buy),B,November6,-,-,2.97,1.34,4.34,26.42,43.50%,-,14.90%,-,0.90%,2.19%,0.80%,9.40%,26.60%,-,-,0.24,0.24,-,75.30%,19.80%,Nov 06/a,7.12M,6.42M,3.80%,2.96%,39.00%,2.02%,0.28%,0.55,32.91K,1.50%,3.80%,16.51%,27.83%,31.87%,49.18%,1.80%,1.67%,-,0.35,0.79,0.41,1.82%,4.45%,21.26%,-0.54%,61.01%,63.54,0.64%,-0.34%
GDDY,79,GoDaddy Inc.,Technology,Internet Software & Services,USA,11.18B,207.11,62.96,"3,139,795",Today After Market EPS,4-Sell ,BUY,C (Hold),D,November6,63.53,4.93,3.96,11.72,9.15,20.49,-34.20%,119.25%,18.30%,42.00%,18.70%,-,0.90%,6.70%,5.00%,0.90,0.90,2.53,2.55,66.40%,3.60%,2.00%,Nov 06/a,177.64M,176.50M,0.50%,-9.37%,-,0.00%,3.46%,3.69,1.65M,-3.64%,2.32%,-4.56%,-19.61%,-13.75%,-4.05%,2.93%,2.35%,1.90,1.90,0.67,1.65,-1.12%,-2.29%,-10.99%,-23.50%,11.11%,44.92,1.66%,-0.37%
