Stock Name,Date,QT,Stock Count,Sector,Market Cap,Ticker Twitter Sentiment,Company Name Twitter Sentiment,Week's Headline Sentiment,Month's Headline Sentiment,Quarter's Headline Sentiment,Zacks Ranks,Yahoo Ranks,The Street Ranks,Investor Place,Company,Industry,Country,P/E,Price,Volume,EPS Time,EPS next 5Y,EPS next Y,EPS past 5Y,EPS this Y,Fwd P/E,P/B,P/C,P/FCF,P/S,PEG,Sales past 5Y,Curr R,Debt/Eq,Divident,Earnings,Gross M,LTDebt/Eq,Oper M,Profit M,Quick R,ROA,ROE,ROI,Avg Volume,Float,Float Short,Insider Own,Insider Trans,Inst Own,Inst Trans,Outstanding,Short Ratio,Perf Half,Perf Month,Perf Quart,Perf Week,Perf YTD,Perf Year,Recom,Rel Volume,Volatility M,Volatility W,52W High,52W Low,ATR,Beta,Gap,RSI,SMA20,SMA200,SMA50,from Open
SYNL,November18,4,26,Basic Materials,121.36M,0.23278333333333334,,0.11652499999999999,0.20005714285714285,0.18216923076923072,,STRONG BUY,C (Hold),C,Synalloy Corporation,Steel & Iron,USA,27.20,13.38,"5,757",Tomorrow Before Market EPS,12.40%,,28.70%,,,1.12,404.52,22.90,0.39,2.19,7.40%,3.50,0.78,1.87%,Nov 19/b,13.00%,0.74,,,1.20,,,10.00%,11.42K,8.37M,1.32%,1.50%,0.00%,63.00%,2.44%,9.07M,9.69,-29.54%,-10.92%,-17.71%,-9.84%,-19.35%,-19.01%,1.00,0.50,3.62%,5.47%,-31.91%,7.47%,0.58,0.06,0.08%,26.76,-10.91%,-16.38%,-12.47%,0.90%
TDG,November18,4,27,Industrial Goods,30.30B,0.09995454545454545,,0.27115,0.10846,0.2147777777777778,3-Hold ,BUY,B- (Buy),B,TransDigm Group Incorporated,Aerospace/Defense Products & Services,USA,42.45,567.68,"275,218",Tomorrow Before Market EPS,15.26%,17.83%,41.70%,61.50%,26.66,,11.15,31.18,6.19,2.78,14.60%,3.90,,,Nov 19/b,55.40%,,36.60%,15.30%,2.90,5.00%,-47.50%,13.40%,298.39K,51.49M,5.23%,0.40%,-69.27%,23.38%,-1.41%,53.37M,9.02,31.11%,7.81%,6.19%,4.52%,76.77%,74.53%,2.30,0.92,1.75%,1.58%,0.64%,93.01%,9.04,0.95,0.40%,73.39,6.21%,21.18%,8.15%,1.01%
TJX,November18,4,28,Services,72.09B,0.09171666666666668,,,0.0500625,0.031087500000000004,4-Sell ,BUY,A- (Buy),C,"The TJX Companies, Inc.",Department Stores,USA,24.14,59.55,"6,902,106",Tomorrow Before Market EPS,8.74%,8.61%,10.60%,24.60%,20.99,13.60,,55.52,1.80,2.76,7.30%,1.30,0.42,1.54%,Nov 19/b,32.20%,0.42,10.80%,7.70%,0.50,16.40%,59.10%,41.80%,5.46M,1.21B,1.14%,0.10%,-1.81%,93.30%,0.06%,1.21B,2.53,11.81%,-1.34%,15.61%,1.71%,33.10%,13.49%,1.90,1.26,1.58%,1.49%,-2.20%,43.53%,0.95,0.67,-0.20%,58.47,1.12%,10.23%,3.71%,-0.25%
TOUR,November18,4,29,Consumer Goods,407.77M,,0.48610000000000003,0.2850333333333333,0.2850333333333333,0.30478333333333335,,HOLD,D (Sell),F,Tuniu Corporation,"Recreational Goods, Other",China,,2.96,"67,816",Tomorrow Before Market EPS,-0.01%,147.80%,12.80%,75.70%,27.16,0.84,1.61,,1.29,,2.80%,1.20,0.03,,Nov 19/b,51.80%,0.00,-22.00%,-15.90%,1.20,-5.10%,-10.80%,-10.30%,60.39K,10.77M,3.68%,4.92%,0.00%,22.50%,0.01%,137.76M,6.56,-25.63%,-4.21%,-11.11%,-5.73%,-39.09%,-51.79%,3.00,1.12,4.18%,4.55%,-54.81%,19.35%,0.14,1.63,-1.02%,33.91,-4.05%,-21.29%,-7.18%,1.37%
TRIB,November18,4,30,Healthcare,22.31M,0.09828333333333336,0.59285,-0.1468,-0.1468,-0.2828,,,D (Sell),F,Trinity Biotech plc,Diagnostic Substances,Ireland,,1.00,"29,841",Tomorrow Before Market EPS,15.00%,66.67%,-35.90%,38.20%,3.33,0.54,,3.91,0.24,,1.20%,3.10,0.00,,Nov 19/b,41.70%,2.11,-22.60%,-31.60%,2.00,-17.70%,-71.10%,-15.60%,107.30K,18.99M,1.60%,11.20%,0.00%,44.10%,-9.70%,22.35M,2.83,-58.91%,24.89%,-30.67%,7.35%,-56.40%,-68.50%,,0.28,11.06%,8.76%,-70.59%,58.48%,0.10,1.46,-1.87%,53.91,17.33%,-50.46%,-4.04%,2.93%
VNET,November18,4,13,Technology,912.26M,0.07540666666666665,0.13443333333333332,0.16132,0.26619230769230773,0.24582962962962962,3-Hold ,,D+ (Sell),D,"21Vianet Group, Inc.",Information Technology Services,China,,8.27,"160,101",Today After Market EPS,20.00%,100.00%,-18.10%,73.50%,,1.30,2.12,39.15,1.81,,11.60%,2.30,0.82,,Nov 18/a,27.10%,0.76,6.40%,-6.80%,,-2.00%,-4.70%,2.60%,183.03K,54.01M,0.50%,1.12%,0.00%,55.70%,0.15%,110.31M,1.46,-6.02%,1.10%,6.44%,0.85%,-4.28%,-29.38%,,0.87,2.90%,2.49%,-30.97%,25.30%,0.27,1.05,0.12%,51.84,0.66%,3.86%,1.79%,2.35%
VTNR,November18,4,31,Industrial Goods,57.72M,-0.0071366666666666705,0.004356249999999999,0.09691428571428572,0.06990952380952381,0.0918862068965517,3-Hold ,STRONG BUY,,D,"Vertex Energy, Inc.",Waste Management,USA,,1.42,"156,599",Tomorrow Before Market EPS,20.00%,96.40%,-20.90%,37.30%,,2.96,25.10,,0.35,,2.20%,1.00,1.09,,Nov 19/b,13.50%,0.67,-4.90%,-7.80%,0.70,-11.40%,-56.20%,1.00%,103.37K,27.62M,3.09%,7.20%,0.00%,20.90%,-4.19%,40.65M,8.26,2.16%,22.41%,13.60%,6.77%,39.22%,-15.98%,1.50,1.51,9.64%,8.40%,-24.06%,51.05%,0.10,1.63,2.90%,66.89,26.00%,5.28%,22.87%,0.00%
WUBA,November18,4,32,Technology,7.39B,0.22783666666666666,0.4588,0.08155,0.08155,0.06989999999999999,3-Hold ,BUY,C+ (Hold),C,58.com Inc.,Internet Information Providers,China,8.82,50.25,"1,240,261",Tomorrow Before Market EPS,12.30%,-2.04%,118.80%,53.10%,14.32,1.93,6.35,,3.60,0.72,146.00%,1.40,0.00,,Nov 19/b,89.10%,0.00,18.20%,41.80%,1.40,18.00%,25.70%,9.10%,733.59K,38.93M,7.61%,4.77%,0.00%,80.80%,3.08%,147.09M,4.04,-13.85%,-1.41%,-8.97%,-8.00%,-7.30%,-21.88%,2.20,1.69,2.91%,3.52%,-32.25%,6.47%,1.64,1.62,0.00%,39.40,-5.02%,-15.55%,-3.97%,-2.52%
WWD,November18,4,14,Industrial Goods,6.97B,-0.000739999999999998,0.23476666666666668,-0.07543333333333334,0.11042222222222223,0.10972142857142857,2-Buy ,BUY,B+ (Buy),B,"Woodward, Inc.",Aerospace/Defense Products & Services,USA,27.06,113.60,"380,386",Today After Market EPS,16.06%,12.30%,7.40%,-5.20%,20.60,4.13,110.19,34.32,2.42,1.68,3.70%,2.00,0.70,0.57%,Nov 18/a,24.90%,0.59,12.30%,9.30%,1.20,6.80%,16.30%,7.90%,257.93K,57.08M,1.72%,0.10%,-44.27%,76.10%,1.00%,61.40M,3.81,0.87%,6.00%,8.22%,2.50%,52.91%,39.26%,2.40,1.47,1.88%,1.79%,-4.70%,66.07%,2.10,1.31,-0.64%,62.25,3.72%,7.51%,5.07%,-0.36%
ZTO,November18,4,15,Services,17.37B,0.11740000000000002,0.5859,0.3818,0.15262499999999998,0.19846,3-Hold ,BUY,A (Buy),B,ZTO Express (Cayman) Inc.,Air Delivery & Freight Services,China,28.32,22.43,"4,290,708",Today After Market EPS,2.87%,19.45%,23.03%,32.30%,20.75,3.59,7.45,22.83,6.14,9.87,,3.80,0.00,,Nov 18/a,29.70%,0.00,23.70%,22.00%,3.80,11.10%,12.90%,9.90%,2.40M,342.85M,2.79%,0.29%,0.00%,35.40%,2.43%,774.42M,3.98,22.50%,7.63%,13.40%,0.09%,43.61%,34.68%,1.80,1.79,1.90%,2.12%,-1.15%,48.58%,0.45,,0.63%,58.17,1.54%,14.03%,4.81%,-0.36%
